SNo,Brief Description of the grievance,Category,Label
366,सडकमा गाडीको टायरको आवाज धेरै आयो। टायरलाई साइलेन्ट बनाउनुपर्छ।,Public Infrastructure,not_genuine
367,The public park has too many birds. Their chirping is annoying. Please relocate them.,Public Infrastructure,not_genuine
368,Mero ghar ko aagadi ko pole ma batti dherai chamkilo bhayo. Mero nindra bigryo.,Public Infrastructure,not_genuine
369,सार्वजनिक शौचालयमा साबुन छैन। साबुनको व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
370,I want a dedicated lane on the road for rollerblading. Please build it.,Public Infrastructure,not_genuine
371,Mero gau ko bato ma pani le bhijeko mato dherai chha. Tiniharu lai sukhai dinu paryo.,Public Infrastructure,not_genuine
372,मेरो बारीको मुलाले बोल्दैन। यसलाई बोल्न सिकाउनुपर्छ।,Agriculture and Livestock,not_genuine
373,My goat is not laughing at my jokes. Please arrange for a comedian to entertain it.,Agriculture and Livestock,not_genuine
374,Mero kukhura le anda dine time ma tiktok banaudaina. Tyo time ma tiktok banaune byawastha gardinu paryo.,Agriculture and Livestock,not_genuine
375,मेरो खेतमा फलेको गहुँको बाला धेरै सानो भयो। यसलाई ठूलो बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
376,My chickens are too lazy to lay eggs. Can you give them some stimulants?,Agriculture and Livestock,not_genuine
377,Mero bhaisi le dherai paani khancha. Paani kam khana sikhaunu paryo.,Agriculture and Livestock,not_genuine
378,मेरो बाख्राले अरुको खेतमा गएर घास खान्छ। उसलाई आफ्नो खेतमा मात्र खान सिकाउनु पर्‍यो।,Agriculture and Livestock,not_genuine
379,My pet cat is not catching enough mice. Can you provide her with a hunting instructor?,Agriculture and Livestock,not_genuine
380,Kheti ma malai haat le mal lagauna garo bhayo. Automatic mal lagaune system chahiyo.,Agriculture and Livestock,not_genuine
381,"मेरो गाईको नाम 'काली' हो, तर उनी त्यति कालो छैनन्। उनको लागि रङको व्यवस्था गर्नुपर्‍यो।",Agriculture and Livestock,not_genuine
382,The crops are getting sunburnt. Can you provide them with tiny sun hats?,Agriculture and Livestock,not_genuine
383,Mero kukhura le bihana chito anda dinchha. Dherai chito anda dina rokna paryo.,Agriculture and Livestock,not_genuine
384,बाख्राले घास खाँदा धेरै हल्ला गर्छ। उसलाई चुपचाप खान सिकाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
385,My scarecrow is too friendly. The birds are sitting on it. Can you make it more menacing?,Agriculture and Livestock,not_genuine
386,Mero karesabari ko pyaj ko aakar gol bhayo. Lamo aakar ko banaidinu paryo.,Agriculture and Livestock,not_genuine
387,मेरो कुकुरले मासु मात्रै खान खोज्छ। उसलाई शाकाहारी बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
388,The fruit on my tree is not ripe enough. Can you use some magic to ripen it faster?,Agriculture and Livestock,not_genuine
389,Mero pakhalu janawar le mero kapada khaidiyo. Janawar lai sajae dinu paryo.,Agriculture and Livestock,not_genuine
390,मेरो गाईले पानी धेरै पिउँछ। यसले गर्दा पानीको बिल धेरै आयो।,Agriculture and Livestock,not_genuine
391,My chickens are not laying golden eggs. Please consult with a specialist.,Agriculture and Livestock,not_genuine
392,Mero kukhura haru TikTok chalauchhan. Tiniharu lai kaam ma lagna lagaunu paryo.,Agriculture and Livestock,not_genuine
393,"Nagar Prahari jyu, mero phone ma unknown message aayo. Yeslai rokna paryo.",Nagar Prahari,not_genuine
394,मेरो छिमेकीले मेरो घरमा हेरेर हाँसे। उहाँलाई हाँस्न बन्द गर्न भन्नुहोस्।,Nagar Prahari,not_genuine
395,My dog thinks he is a police dog. He is trying to arrest the mailman. Please stop him.,Nagar Prahari,not_genuine
396,Mero jutta ma chikana lagyo. Safa garna madat chahiyo.,Nagar Prahari,not_genuine
397,मैले आज बिहान चिया बनाउँदा चिनी सकियो। चिनी किनेर ल्याइदिनुहोस्।,Nagar Prahari,not_genuine
398,My online game account was hacked. Please recover it for me.,Nagar Prahari,not_genuine
399,Mero chhora le mero mobile hideko chha. Kahan lukayo khoj dinu paryo.,Nagar Prahari,not_genuine
400,मेरो टोलमा बिहान-बिहान रेडियोमा धेरै गीत बज्छ। यसलाई रोक्नुपर्छ।,Nagar Prahari,not_genuine
401,I lost my favorite sock. Can the police find it for me?,Nagar Prahari,not_genuine
402,Mero ghar ma musa le khana khayio. Musa lai samatne kam garnu paryo.,Nagar Prahari,not_genuine
403,मेरो श्रीमान्ले मलाई खाना बनाउन लगाउनुहुन्छ। यसमा रोक लगाइदिनुपर्‍यो।,Nagar Prahari,not_genuine
404,The neighbor's cat is staring at me. I feel threatened. Please remove the cat.,Nagar Prahari,not_genuine
405,Mero ghar ma batti gayo. Generator chalauna aaudaina. Madat chahiyo.,Nagar Prahari,not_genuine
406,मैले नुहाउन पानी तताउँदा धेरै समय लाग्यो। यो पानी तताउनेलाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
407,My internet is slow. Can you send someone to fix my Wi-Fi router immediately?,Nagar Prahari,not_genuine
408,Mero sathi le mero secret disclose garidiyo. Uslai jail halidinu paryo.,Nagar Prahari,not_genuine
409,मेरो छिमेकीले धेरै फुल रोप्छन्। यसले गर्दा मेरो घरमा किरा आउँछ।,Nagar Prahari,not_genuine
410,I dreamt that someone stole my money. I need protection for my dreams.,Nagar Prahari,not_genuine
411,Mero jhyal bata dhulo aayo. Dhulo lai rokna paryo.,Nagar Prahari,not_genuine
412,सडकमा गाडीको हर्नले मेरो मुटु दुख्यो। हर्न बजाउन निषेध गर्नुपर्छ।,Nagar Prahari,not_genuine
413,My cat is refusing to eat her expensive cat food. Can you investigate her eating habits?,Nagar Prahari,not_genuine
414,Mero chhora le mobile game ma dherai paisa kharcha garyo. Mobile game ban garaidinu paryo.,Nagar Prahari,not_genuine
415,मैले बिहान खाना खाएँ तर मेरो पेट अझै खाली छ। यो खानेकुरालाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
416,The crows are cawing too loudly. Can you give them a warning?,Nagar Prahari,not_genuine
417,Mero mobile ko wallpaper ma mero photo ramro aayena. Ramro photo khichna sikaunu paryo.,Nagar Prahari,not_genuine
418,Aakash ma indreni niklenna. Aja indreni nikalidinu paryo.,Environment,not_genuine
419,आज बिहान हावामा धेरै चिसो थियो। यसलाई तातो बनाउनुपर्छ।,Environment,not_genuine
420,The sun is too bright today. Can you dim it down a bit?,Environment,not_genuine
421,Mero ghar najikai ko phool le malai allergy bhayo. Tyo phool lai hataidinu paryo.,Environment,not_genuine
422,चराहरूले मेरो कौसीमा धेरै गाह्रो आवाज निकाल्छन्। तिनीहरूलाई चुप लगाउनुपर्छ।,Environment,not_genuine
423,My neighbor's plants are growing too tall. They are blocking my view of the sky.,Environment,not_genuine
424,Khola ma paani dherai bagyo. Sabai paani bachaut raakhnu paryo.,Environment,not_genuine
425,माटो धेरै गिलो भयो। यसलाई सुक्खा बनाउने उपाय चाहियो।,Environment,not_genuine
426,The clouds are not fluffy enough. Can you make them softer and more artistic?,Environment,not_genuine
427,Hawa ma dhulo dherai chha. Hawa lai dhulo rahit banaunu paryo.,Environment,not_genuine
428,जंगलमा जनावरहरू धेरै बस्छन्। तिनीहरूलाई जनसंख्या नियन्त्रण गर्नुपर्छ।,Environment,not_genuine
429,My garden hose is leaking. The water is going to waste. Please fix the ozone layer.,Environment,not_genuine
430,Barsha dherai paryo. Mero ghar ko chhat bata pani churiyo. Chhat lai pakka banaunu paryo.,Environment,not_genuine
431,मेरो घरको अगाडिको रूखले पात झार्छ। पात झार्न बन्द गर्नुपर्छ।,Environment,not_genuine
432,The sound of the wind is too loud. It keeps me awake at night. Please silence it.,Environment,not_genuine
433,Himal dherai chiso chha. Yeslai halka taato banaunu paryo.,Environment,not_genuine
434,"नदीमा माछाहरू धेरै छन्। यिनीहरूले पानी फोहोर गर्छन्, माछालाई अन्यत्र सार्नुपर्छ।",Environment,not_genuine
435,I don't like the smell of rain. Can you make rain smell like vanilla?,Environment,not_genuine
436,Mero bagan ma phool phuldainan. Phool phulaune byawastha garnu paryo.,Environment,not_genuine
437,समुन्द्रमा पानी धेरै छ। यसले गर्दा संसार डुब्न सक्छ। पानी घटाउनुपर्छ।,Environment,not_genuine
438,"The air in my room is too still. Can you send a small, personal breeze?",Environment,not_genuine
439,Mero ghar ko aagan ma dhulo dherai aauchha. Dhulo lai rokna paryo.,Environment,not_genuine
440,हिउँ किन सेतो हुन्छ? यसलाई रातो वा निलो बनाउन सकिँदैन?,Environment,not_genuine
441,My neighbor's dog barks at the moon. Can you explain to the dog that the moon can't hear it?,Environment,not_genuine
442,School ma internet speed dherai kam chha. Netflix chaldaina. Yeslai badaunu paryo.,Education,not_genuine
443,"मेरो छोरालाई स्कुलमा कार्टुन हेर्न दिँदैनन्। यो अन्याय हो, कार्टुन हेर्न दिनुपर्छ।",Education,not_genuine
444,My daughter wants a permanent holiday from school. Please approve this.,Education,not_genuine
445,Teacher le malai dherai homework dinuhuncha. Homework kam garna lagaunu paryo.,Education,not_genuine
446,हाम्रो स्कुलको क्यान्टिनमा पानीपुरी पाइँदैन। पानीपुरीको व्यवस्था गर्नुपर्छ।,Education,not_genuine
447,The school bell rings too loudly. My dog gets scared. Please change the sound to a gentle chime.,Education,not_genuine
448,Mero chhora le school ma ball haraayo. Ball khojera dinu paryo.,Education,not_genuine
449,"स्कुलमा बिहान बिहान व्यायाम गराउँछन्। मलाई अल्छी लाग्छ, यसलाई रोक्नुपर्छ।",Education,not_genuine
450,My son wants to learn magic tricks in school. Please add a magic class.,Education,not_genuine
451,Malai exam ma pass huna jadu chahiyo. Jadu ko byawastha gardinu paryo.,Education,not_genuine
452,शिक्षकले बोर्डमा लेख्दा धेरै आवाज आउँछ। चकको सट्टामा साइलेन्ट मार्कर प्रयोग गर्नुपर्छ।,Education,not_genuine
453,The school playground has grass. My daughter prefers sand. Please replace the grass.,Education,not_genuine
454,School ko gate kholne bell dherai chito bajcha. Aru thapne bell rakhnu paryo.,Education,not_genuine
455,हाम्रो कक्षाकोठामा गर्मी भयो। एसीको व्यवस्था गर्नुपर्छ।,Education,not_genuine
456,My son wants a slide from his classroom directly to the playground. Please build it.,Education,not_genuine
457,Mero chhora le school ma kura bujhena. Teacher lai bujhaune tarika sikaunu paryo.,Education,not_genuine
458,स्कुलको शौचालयमा सुगन्ध आउँदैन। त्यहाँ सुगन्धित स्प्रे राख्नुपर्‍यो।,Education,not_genuine
459,The school cafeteria food is too healthy. I want more junk food options.,Education,not_genuine
460,Mero chhora le school ma sathi banauna sakeko chaina. Sathi banaune tutorial dinu paryo.,Education,not_genuine
461,हाम्रो स्कुलको भित्तामा रङको कमी छ। त्यहाँ कार्टुनका चित्र बनाउनुपर्छ।,Education,not_genuine
462,My daughter wants to be a princess. Can the school arrange for a princess costume and a crown during school hours?,Education,not_genuine
463,Public road ma kura garnalai meeting point chaina. Euta meeting point banaidinu paryo.,Public Infrastructure,not_genuine
464,सडकको छेउमा फुल फुल्दैन। सुन्दर फुल फुलाउने व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
465,The public park has too many trees. It's blocking the sunlight. Please cut some trees.,Public Infrastructure,not_genuine
466,Mero ghar ko aagadi ko dhala ma macha le khelna man parayen. Macha ko lagi alag pokhari banaidinu paryo.,Public Infrastructure,not_genuine
467,पुलमा धेरै मान्छे हिँड्छन्। मान्छेको भीडभाड कम गर्नुपर्छ।,Public Infrastructure,not_genuine
468,The bus stop has no coffee machine. Please install one.,Public Infrastructure,not_genuine
469,Mero galli ma hidda mero chhaya dherai lamo bhayo. Chhaya lai choto banaidinu paryo.,Public Infrastructure,not_genuine
470,सडकमा सुतेको कुकुरले बाटो छेकिरहेको छ। कुकुरलाई उठाइदिनुपर्‍यो।,Public Infrastructure,not_genuine
471,The public library books are too old. I want new bestsellers only.,Public Infrastructure,not_genuine
472,Mero ghar ko aagadi ko bijuli ko tar le mero sapana bigaryo. Tar lai hataidinu paryo.,Public Infrastructure,not_genuine
473,ढलको ढकनी धेरै भारी छ। यसलाई हलुका बनाउनुपर्छ।,Public Infrastructure,not_genuine
474,The street sign is too high. I can't read it from my car. Please lower it.,Public Infrastructure,not_genuine
475,Mero ghar ko bato ma goli hane jasto awaj aayo. Yo awaj lai rokna paryo.,Public Infrastructure,not_genuine
476,सार्वजनिक प्रतीक्षालयमा मानिसहरू धेरै गफ गर्छन्। उनीहरूलाई चुप लगाउनुपर्छ।,Public Infrastructure,not_genuine
477,The new public toilet doesn't have a specific room for meditating. Please add one.,Public Infrastructure,not_genuine
478,Mero ghar ko chhat bata pani churiyo. Yo pani ko dhara le garda ho. Dhara ko disha feridinu paryo.,Public Infrastructure,not_genuine
479,सडकमा गाडीको टायरको आवाज धेरै आयो। टायरलाई साइलेन्ट बनाउनुपर्छ।,Public Infrastructure,not_genuine
480,The public park has too many birds. Their chirping is annoying. Please relocate them.,Public Infrastructure,not_genuine
481,Mero ghar ko aagadi ko pole ma batti dherai chamkilo bhayo. Mero nindra bigryo.,Public Infrastructure,not_genuine
482,सार्वजनिक शौचालयमा साबुन छैन। साबुनको व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
483,I want a dedicated lane on the road for rollerblading. Please build it.,Public Infrastructure,not_genuine
484,Mero gau ko bato ma pani le bhijeko mato dherai chha. Tiniharu lai sukhai dinu paryo.,Public Infrastructure,not_genuine
485,मेरो बारीको मुलाले बोल्दैन। यसलाई बोल्न सिकाउनुपर्छ।,Agriculture and Livestock,not_genuine
486,My goat is not laughing at my jokes. Please arrange for a comedian to entertain it.,Agriculture and Livestock,not_genuine
487,Mero kukhura le anda dine time ma tiktok banaudaina. Tyo time ma tiktok banaune byawastha gardinu paryo.,Agriculture and Livestock,not_genuine
488,मेरो खेतमा फलेको गहुँको बाला धेरै सानो भयो। यसलाई ठूलो बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
489,My chickens are too lazy to lay eggs. Can you give them some stimulants?,Agriculture and Livestock,not_genuine
490,Mero bhaisi le dherai paani khancha. Paani kam khana sikhaunu paryo.,Agriculture and Livestock,not_genuine
491,मेरो बाख्राले अरुको खेतमा गएर घास खान्छ। उसलाई आफ्नो खेतमा मात्र खान सिकाउनु पर्‍यो।,Agriculture and Livestock,not_genuine
492,My pet cat is not catching enough mice. Can you provide her with a hunting instructor?,Agriculture and Livestock,not_genuine
493,Kheti ma malai haat le mal lagauna garo bhayo. Automatic mal lagaune system chahiyo.,Agriculture and Livestock,not_genuine
494,"मेरो गाईको नाम 'काली' हो, तर उनी त्यति कालो छैनन्। उनको लागि रङको व्यवस्था गर्नुपर्‍यो।",Agriculture and Livestock,not_genuine
495,The crops are getting sunburnt. Can you provide them with tiny sun hats?,Agriculture and Livestock,not_genuine
496,Mero kukhura le bihana chito anda dinchha. Dherai chito anda dina rokna paryo.,Agriculture and Livestock,not_genuine
497,बाख्राले घास खाँदा धेरै हल्ला गर्छ। उसलाई चुपचाप खान सिकाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
498,My scarecrow is too friendly. The birds are sitting on it. Can you make it more menacing?,Agriculture and Livestock,not_genuine
499,Mero karesabari ko pyaj ko aakar gol bhayo. Lamo aakar ko banaidinu paryo.,Agriculture and Livestock,not_genuine
500,मेरो कुकुरले मासु मात्रै खान खोज्छ। उसलाई शाकाहारी बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
501,The fruit on my tree is not ripe enough. Can you use some magic to ripen it faster?,Agriculture and Livestock,not_genuine
502,Mero pakhalu janawar le mero kapada khaidiyo. Janawar lai sajae dinu paryo.,Agriculture and Livestock,not_genuine
503,मेरो गाईले पानी धेरै पिउँछ। यसले गर्दा पानीको बिल धेरै आयो।,Agriculture and Livestock,not_genuine
504,My chickens are not laying golden eggs. Please consult with a specialist.,Agriculture and Livestock,not_genuine
505,Mero kukhura haru TikTok chalauchhan. Tiniharu lai kaam ma lagna lagaunu paryo.,Agriculture and Livestock,not_genuine
506,"Nagar Prahari jyu, mero phone ma unknown message aayo. Yeslai rokna paryo.",Nagar Prahari,not_genuine
507,मेरो छिमेकीले मेरो घरमा हेरेर हाँसे। उहाँलाई हाँस्न बन्द गर्न भन्नुहोस्।,Nagar Prahari,not_genuine
508,My dog thinks he is a police dog. He is trying to arrest the mailman. Please stop him.,Nagar Prahari,not_genuine
509,Mero jutta ma chikana lagyo. Safa garna madat chahiyo.,Nagar Prahari,not_genuine
510,मैले आज बिहान चिया बनाउँदा चिनी सकियो। चिनी किनेर ल्याइदिनुहोस्।,Nagar Prahari,not_genuine
511,My online game account was hacked. Please recover it for me.,Nagar Prahari,not_genuine
512,Mero chhora le mero mobile hideko chha. Kahan lukayo khoj dinu paryo.,Nagar Prahari,not_genuine
513,मेरो टोलमा बिहान-बिहान रेडियोमा धेरै गीत बज्छ। यसलाई रोक्नुपर्छ।,Nagar Prahari,not_genuine
514,I lost my favorite sock. Can the police find it for me?,Nagar Prahari,not_genuine
515,Mero ghar ma musa le khana khayio. Musa lai samatne kam garnu paryo.,Nagar Prahari,not_genuine
516,मेरो श्रीमान्ले मलाई खाना बनाउन लगाउनुहुन्छ। यसमा रोक लगाइदिनुपर्‍यो।,Nagar Prahari,not_genuine
517,The neighbor's cat is staring at me. I feel threatened. Please remove the cat.,Nagar Prahari,not_genuine
518,Mero ghar ma batti gayo. Generator chalauna aaudaina. Madat chahiyo.,Nagar Prahari,not_genuine
519,मैले नुहाउन पानी तताउँदा धेरै समय लाग्यो। यो पानी तताउनेलाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
520,My internet is slow. Can you send someone to fix my Wi-Fi router immediately?,Nagar Prahari,not_genuine
521,Mero sathi le mero secret disclose garidiyo. Uslai jail halidinu paryo.,Nagar Prahari,not_genuine
522,मेरो छिमेकीले धेरै फुल रोप्छन्। यसले गर्दा मेरो घरमा किरा आउँछ।,Nagar Prahari,not_genuine
523,I dreamt that someone stole my money. I need protection for my dreams.,Nagar Prahari,not_genuine
524,Mero jhyal bata dhulo aayo. Dhulo lai rokna paryo.,Nagar Prahari,not_genuine
525,सडकमा गाडीको हर्नले मेरो मुटु दुख्यो। हर्न बजाउन निषेध गर्नुपर्छ।,Nagar Prahari,not_genuine
526,My cat is refusing to eat her expensive cat food. Can you investigate her eating habits?,Nagar Prahari,not_genuine
527,Mero chhora le mobile game ma dherai paisa kharcha garyo. Mobile game ban garaidinu paryo.,Nagar Prahari,not_genuine
528,मैले बिहान खाना खाएँ तर मेरो पेट अझै खाली छ। यो खानेकुरालाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
529,The crows are cawing too loudly. Can you give them a warning?,Nagar Prahari,not_genuine
530,Mero mobile ko wallpaper ma mero photo ramro aayena. Ramro photo khichna sikaunu paryo.,Nagar Prahari,not_genuine
531,Aakash ma indreni niklenna. Aja indreni nikalidinu paryo.,Environment,not_genuine
532,आज बिहान हावामा धेरै चिसो थियो। यसलाई तातो बनाउनुपर्छ।,Environment,not_genuine
533,The sun is too bright today. Can you dim it down a bit?,Environment,not_genuine
534,Mero ghar najikai ko phool le malai allergy bhayo. Tyo phool lai hataidinu paryo.,Environment,not_genuine
535,चराहरूले मेरो कौसीमा धेरै गाह्रो आवाज निकाल्छन्। तिनीहरूलाई चुप लगाउनुपर्छ।,Environment,not_genuine
536,My neighbor's plants are growing too tall. They are blocking my view of the sky.,Environment,not_genuine
537,Khola ma paani dherai bagyo. Sabai paani bachaut raakhnu paryo.,Environment,not_genuine
538,माटो धेरै गिलो भयो। यसलाई सुक्खा बनाउने उपाय चाहियो।,Environment,not_genuine
539,The clouds are not fluffy enough. Can you make them softer and more artistic?,Environment,not_genuine
540,Hawa ma dhulo dherai chha. Hawa lai dhulo rahit banaunu paryo.,Environment,not_genuine
541,जंगलमा जनावरहरू धेरै बस्छन्। तिनीहरूलाई जनसंख्या नियन्त्रण गर्नुपर्छ।,Environment,not_genuine
542,My garden hose is leaking. The water is going to waste. Please fix the ozone layer.,Environment,not_genuine
543,Barsha dherai paryo. Mero ghar ko chhat bata pani churiyo. Chhat lai pakka banaunu paryo.,Environment,not_genuine
544,मेरो घरको अगाडिको रूखले पात झार्छ। पात झार्न बन्द गर्नुपर्छ।,Environment,not_genuine
545,The sound of the wind is too loud. It keeps me awake at night. Please silence it.,Environment,not_genuine
546,Himal dherai chiso chha. Yeslai halka taato banaunu paryo.,Environment,not_genuine
547,"नदीमा माछाहरू धेरै छन्। यिनीहरूले पानी फोहोर गर्छन्, माछालाई अन्यत्र सार्नुपर्छ।",Environment,not_genuine
548,I don't like the smell of rain. Can you make rain smell like vanilla?,Environment,not_genuine
549,Mero bagan ma phool phuldainan. Phool phulaune byawastha garnu paryo.,Environment,not_genuine
550,समुन्द्रमा पानी धेरै छ। यसले गर्दा संसार डुब्न सक्छ। पानी घटाउनुपर्छ।,Environment,not_genuine
551,"The air in my room is too still. Can you send a small, personal breeze?",Environment,not_genuine
552,Mero ghar ko aagan ma dhulo dherai aauchha. Dhulo lai rokna paryo.,Environment,not_genuine
553,हिउँ किन सेतो हुन्छ? यसलाई रातो वा निलो बनाउन सकिँदैन?,Environment,not_genuine
554,My neighbor's dog barks at the moon. Can you explain to the dog that the moon can't hear it?,Environment,not_genuine
555,School ma dherai purano teacher haru chhan. Naya jawan teacher haru lyaunu paryo.,Education,not_genuine
556,मेरो छोरालाई स्कुलमा खेल्न दिँदैनन्। उसलाई ओलम्पिकमा जान दिनुपर्छ।,Education,not_genuine
557,My daughter wants a pet dinosaur in school. Please arrange for a large enclosure.,Education,not_genuine
558,Teacher le malai 'timi aakha chimlere baseko' bhannuhuncha. Mero aankha chimlera basne aadat chha. Yeslai rokna paryo.,Education,not_genuine
559,हाम्रो स्कुलको पुस्तकालयमा भुतले किताब चोर्छ। भुतलाई कारबाही गर्नुपर्छ।,Education,not_genuine
560,"The school principal's car is too old. He needs a new, flashy car.",Education,not_genuine
561,Mero chhora le school ma ball haraayo. Ball khojera dinu paryo.,Education,not_genuine
562,"स्कुलमा बिहान बिहान व्यायाम गराउँछन्। मलाई अल्छी लाग्छ, यसलाई रोक्नुपर्छ।",Education,not_genuine
563,My son wants to learn magic tricks in school. Please add a magic class.,Education,not_genuine
564,Malai exam ma pass huna jadu chahiyo. Jadu ko byawastha gardinu paryo.,Education,not_genuine
565,शिक्षकले बोर्डमा लेख्दा धेरै आवाज आउँछ। चकको सट्टामा साइलेन्ट मार्कर प्रयोग गर्नुपर्छ।,Education,not_genuine
566,The school playground has grass. My daughter prefers sand. Please replace the grass.,Education,not_genuine
567,School ko gate kholne bell dherai chito bajcha. Aru thapne bell rakhnu paryo.,Education,not_genuine
568,हाम्रो कक्षाकोठामा गर्मी भयो। एसीको व्यवस्था गर्नुपर्छ।,Education,not_genuine
569,My son wants a slide from his classroom directly to the playground. Please build it.,Education,not_genuine
570,Mero chhora le school ma kura bujhena. Teacher lai bujhaune tarika sikaunu paryo.,Education,not_genuine
571,स्कुलको शौचालयमा सुगन्ध आउँदैन। त्यहाँ सुगन्धित स्प्रे राख्नुपर्‍यो।,Education,not_genuine
572,The school cafeteria food is too healthy. I want more junk food options.,Education,not_genuine
573,Mero chhora le school ma sathi banauna sakeko chaina. Sathi banaune tutorial dinu paryo.,Education,not_genuine
574,हाम्रो स्कुलको भित्तामा रङको कमी छ। त्यहाँ कार्टुनका चित्र बनाउनुपर्छ।,Education,not_genuine
575,My daughter wants to be a princess. Can the school arrange for a princess costume and a crown during school hours?,Education,not_genuine
576,Public road ma kura garnalai meeting point chaina. Euta meeting point banaidinu paryo.,Public Infrastructure,not_genuine
577,सडकको छेउमा फुल फुल्दैन। सुन्दर फुल फुलाउने व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
578,The public park has too many trees. It's blocking the sunlight. Please cut some trees.,Public Infrastructure,not_genuine
579,Mero ghar ko aagadi ko dhala ma macha le khelna man parayen. Macha ko lagi alag pokhari banaidinu paryo.,Public Infrastructure,not_genuine
580,पुलमा धेरै मान्छे हिँड्छन्। मान्छेको भीडभाड कम गर्नुपर्छ।,Public Infrastructure,not_genuine
581,The bus stop has no coffee machine. Please install one.,Public Infrastructure,not_genuine
582,Mero galli ma hidda mero chhaya dherai lamo bhayo. Chhaya lai choto banaidinu paryo.,Public Infrastructure,not_genuine
583,सडकमा सुतेको कुकुरले बाटो छेकिरहेको छ। कुकुरलाई उठाइदिनुपर्‍यो।,Public Infrastructure,not_genuine
584,The public library books are too old. I want new bestsellers only.,Public Infrastructure,not_genuine
585,Mero ghar ko aagadi ko bijuli ko tar le mero sapana bigaryo. Tar lai hataidinu paryo.,Public Infrastructure,not_genuine
586,ढलको ढकनी धेरै भारी छ। यसलाई हलुका बनाउनुपर्छ।,Public Infrastructure,not_genuine
587,The street sign is too high. I can't read it from my car. Please lower it.,Public Infrastructure,not_genuine
588,Mero ghar ko bato ma goli hane jasto awaj aayo. Yo awaj lai rokna paryo.,Public Infrastructure,not_genuine
589,सार्वजनिक प्रतीक्षालयमा मानिसहरू धेरै गफ गर्छन्। उनीहरूलाई चुप लगाउनुपर्छ।,Public Infrastructure,not_genuine
590,The new public toilet doesn't have a specific room for meditating. Please add one.,Public Infrastructure,not_genuine
591,Mero ghar ko chhat bata pani churiyo. Yo pani ko dhara le garda ho. Dhara ko disha feridinu paryo.,Public Infrastructure,not_genuine
592,सडकमा गाडीको टायरको आवाज धेरै आयो। टायरलाई साइलेन्ट बनाउनुपर्छ।,Public Infrastructure,not_genuine
593,The public park has too many birds. Their chirping is annoying.,Public Infrastructure,not_genuine
594,Mero ghar ko aagadi ko pole ma batti dherai chamkilo bhayo. Mero nindra bigryo.,Public Infrastructure,not_genuine
595,सार्वजनिक शौचालयमा साबुन छैन। लायिदाइदिनु।,Public Infrastructure,not_genuine
596,I want a dedicated lane on the road for rollerblading.,Public Infrastructure,not_genuine
597,Mero gau ko bato ma pani le bhijeko mato dherai chha. Tiniharu lai sukhai dinu.,Public Infrastructure,not_genuine
598,मेरो बारीको मकाउ बोल्दैन। यसलाई बोल्न सिकाउनुपर्छ।,Agriculture and Livestock,not_genuine
599,My goat is not laughing at my jokes. Please arrange for a comedian to entertain it.,Agriculture and Livestock,not_genuine
600,Mero kukhura le anda dine time ma tiktok banaudaina. Tyo time ma tiktok banaune byawastha.,Agriculture and Livestock,not_genuine
601,मेरो खेतमा फलेको गहुँको बाला धेरै सानो भयो। यसलाई ठूलो बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
602,My chickens are too lazy to lay eggs. Can you give them some stimulants?,Agriculture and Livestock,not_genuine
603,Mero bhaisi le dherai paani khancha. Paani kam khana sikhaunu paryo.,Agriculture and Livestock,not_genuine
604,मेरो बाख्राले अरुको खेतमा गएर घास खान्छ। उसलाई आफ्नो खेतमा मात्र खान सिकाउनु पर्‍यो।,Agriculture and Livestock,not_genuine
605,My pet cat is not catching enough mice. Can you provide her with a hunting instructor?,Agriculture and Livestock,not_genuine
606,Kheti ma malai haat le mal lagauna garo bhayo. Automatic mal lagaune system chahiyo.,Agriculture and Livestock,not_genuine
607,"मेरो गाईको नाम 'काली' हो, तर उनी त्यति कालो छैनन्। उनको लागि रङको व्यवस्था गर्नुपर्‍यो।",Agriculture and Livestock,not_genuine
608,The crops are getting sunburnt. Can you provide them with tiny sun hats?,Agriculture and Livestock,not_genuine
609,Mero kukhura le bihana chito anda dinchha. Dherai chito anda dina rokna paryo.,Agriculture and Livestock,not_genuine
610,बाख्राले घास खाँदा धेरै हल्ला गर्छ। उसलाई चुपचाप खान सिकाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
611,My scarecrow is too friendly. The birds are sitting on it. Can you make it more menacing?,Agriculture and Livestock,not_genuine
